	method	days	XW	CH	CT	M
1	aFA	0 days	0	70134.93	60420.21	1118116.78
2	aFA	0 days	0	58793.63	58592.56	1186387.29
3	aFA	0 days	0	79349.74	57356.2	1189062.47
4	bGA	0 days	0	70134.93	60420.21	1118116.78
5	bGA	0 days	0	58793.63	58592.56	1186387.29
6	bGA	0 days	0	79349.74	57356.2	1189062.47
7	cDMSO	0 days	0	70134.93	60420.21	1118116.78
8	cDMSO	0 days	0	58793.63	58592.56	1186387.29
9	cDMSO	0 days	0	79349.74	57356.2	1189062.47
10	eFA+F68	0 days	0	70134.93	60420.21	1118116.78
11	eFA+F68	0 days	0	58793.63	58592.56	1186387.29
12	eFA+F68	0 days	0	79349.74	57356.2	1189062.47
13	fGA+F68	0 days	0	70134.93	60420.21	1118116.78
14	fGA+F68	0 days	0	58793.63	58592.56	1186387.29
15	fGA+F68	0 days	0	79349.74	57356.2	1189062.47
16	gDMSO+F68	0 days	0	70134.93	60420.21	1118116.78
17	gDMSO+F68	0 days	0	58793.63	58592.56	1186387.29
18	gDMSO+F68	0 days	0	79349.74	57356.2	1189062.47
19	dF68	0 days	0	70134.93	60420.21	1118116.78
20	dF68	0 days	0	58793.63	58592.56	1186387.29
21	dF68	0 days	0	79349.74	57356.2	1189062.47
22	aFA	30 days	15302.13	104421.75	58702.42	1668902.51
23	aFA	30 days	15600.22	101483.48	54815.17	1342868.3
24	aFA	30 days	15153.08	99223.27	56832.6	1453226.5
25	bGA	30 days	8545.34	96058.97	59883.35	1234897.66
26	bGA	30 days	9042.17	85435.98	58013.54	1252671.69
27	bGA	30 days	8893.12	117530.98	60326.21	1258507.95
28	cDMSO	30 days	2633.16	12883.2	3099.96	775425.53
29	cDMSO	30 days	3179.66	14013.31	3985.66	762161.33
30	cDMSO	30 days	2782.21	13335.25	4330.1	578849.99
31	eFA+F68	30 days	19574.8	101935.52	53585.02	1230387.83
32	eFA+F68	30 days	22506.05	103291.65	60424.62	1142578.78
33	eFA+F68	30 days	14159.44	85662	58013.54	1251610.56
34	fGA+F68	30 days	17289.42	98997.25	59145.27	1100133.32
35	fGA+F68	30 days	14656.26	110976.37	62835.7	1288485.05
36	fGA+F68	30 days	14854.99	108942.18	71348.29	1258507.95
37	gDMSO+F68	30 days	2484.11	9040.84	3345.99	782322.92
38	gDMSO+F68	30 days	3378.39	10849.01	3690.43	853949.64
39	gDMSO+F68	30 days	2384.75	11075.03	3690.43	824503.1
40	dF68	30 days	13563.25	109846.26	72578.43	1591704.82
41	dF68	30 days	13811.66	100579.39	80106.9	1390884.73
42	dF68	30 days	18134.02	101257.46	74005.4	1289015.62
43	aFA	90 days	8844.38	75186.99	80466.4	875900.84
44	aFA	90 days	9898.17	128767.46	85194.92	845497.53
45	aFA	90 days	6812.05	83214.88	82137.68	841718.11
46	bGA	90 days	4930.27	86288.42	100399.56	1022248.25
47	bGA	90 days	4817.36	73627.28	86906.97	983530.23
48	bGA	90 days	4365.73	46561.8	91839.31	975803.42
49	cDMSO	90 days	1994.69	6514.06	3954.02	169695.81
50	cDMSO	90 days	2145.23	9037.12	4402.42	224917.29
51	cDMSO	90 days	2860.31	12523.52	4769.28	206314.16
52	eFA+F68	90 days	9145.46	82480.91	85928.65	802664.14
53	eFA+F68	90 days	7677.67	69498.65	85602.55	538356.92
54	eFA+F68	90 days	8580.93	76242.08	84257.37	825676.59
55	fGA+F68	90 days	10876.7	85875.56	89678.86	892278.31
56	fGA+F68	90 days	8618.56	89086.72	95222.65	900551.03
57	fGA+F68	90 days	10575.62	92894.23	93225.25	1042699.1
58	gDMSO+F68	90 days	2709.77	13807.98	5788.36	199469.22
59	gDMSO+F68	90 days	2145.23	10413.33	6644.39	190944.53
60	gDMSO+F68	90 days	1957.05	13762.11	5869.89	224371.38
61	dF68	90 days	8731.47	54130.96	99217.43	974837.57
62	dF68	90 days	10312.17	98399.08	100440.32	988821.41
63	dF68	90 days	8844.38	63856.18	100277.27	952706.98
64	aFA	980 days	10312.02	99381.21	95546.74	922018.02
65	aFA	980 days	9154.28	125517.62	64548.34	897350.08
66	aFA	980 days	10473.57	125707.19	115687.56	926550.81
67	bGA	980 days	8642.71	101030.66	106241.46	907179.08
68	bGA	980 days	7915.76	96033.09	90715.11	829453.59
69	bGA	980 days	9962.01	102929.44	105970.02	909373.91
70	cDMSO	980 days	726.96	12529.07	5808.81	308420.85
71	cDMSO	980 days	1400.07	11696.48	3474.43	276834.43
72	cDMSO	980 days	1507.76	14289.55	4614.47	300691.24
73	eFA+F68	980 days	10985.13	97819.81	96795.36	840952.58
74	eFA+F68	980 days	10231.25	99527.57	96415.34	823632.53
75	eFA+F68	980 days	9665.84	98201.53	83169.09	817668.33
76	fGA+F68	980 days	12089.03	101327.99	109173	790710.13
77	fGA+F68	980 days	8965.8	108221.33	119542	872777.56
78	fGA+F68	980 days	9531.22	102932.35	112918.87	843004.26
79	gDMSO+F68	980 days	1938.55	15018.38	8957.51	270440.81
80	gDMSO+F68	980 days	2073.17	16387.32	8957.51	272301.64
81	gDMSO+F68	980 days	1750.08	14380.99	10206.13	314766.76
82	dF68	980 days	6623.39	98705.43	180887.35	971831.04
83	dF68	980 days	4415.59	97379.96	156620.65	1006614.27
84	dF68	980 days	5465.64	101532.27	226000.61	1016157
