	Richness	Chao1	ACE	method	days
CHF1M0R1	142	187.1111111	174.8259695	aFA	0 days
CHF2M0R1	142	187.1111111	174.8259695	bGA	0 days
CHF4M0R1	142	187.1111111	174.8259695	dF68	0 days
CHF5M0R1	142	187.1111111	174.8259695	eFA+F68	0 days
CHF6M0R1	142	187.1111111	174.8259695	fGA+F68	0 days
CHF1M1R1	83	108.5	110.7481704	aFA	30 days
CHF2M1R1	86	99	102.1175541	bGA	30 days
CHF4M1R1	129	144.8333333	150.9478886	dF68	30 days
CHF6M1R1	68	115.5	99.73192771	fGA+F68	30 days
CHF1M3R1	110	129.4285714	130.8958333	aFA	90 days
CHF1M3R2	115	151.1428571	148.8214595	aFA	90 days
CHF1M3R3	122	168.5	204.7539448	aFA	90 days
CHF2M3R1	125	151.25	157.5201384	bGA	90 days
CHF2M3R2	104	117.125	124.1796622	bGA	90 days
CHF2M3R3	124	145.8571429	164.5294468	bGA	90 days
CHF4M3R1	162	170.0769231	176.346682	dF68	90 days
CHF4M3R2	123	135.75	142.3690435	dF68	90 days
CHF4M3R3	190	245.2	211.5133598	dF68	90 days
CHF5M3R1	128	175.5	155.7891746	eFA+F68	90 days
CHF5M3R2	117	180	167.4631047	eFA+F68	90 days
CHF5M3R3	127	162.1	174.4820753	eFA+F68	90 days
CHF6M3R1	118	153	147.776823	fGA+F68	90 days
CHF6M3R2	103	114.25	110.4310529	fGA+F68	90 days
CHF6M3R3	123	170.5	160.6466749	fGA+F68	90 days
CHF1M6R1	107	158.6666667	153.0354949	aFA	980 days
CHF1M6R2	126	171.1111111	178.2102467	aFA	980 days
CHF1M6R3	82	103	109.8993056	aFA	980 days
CHF2M6R1	97	107.1111111	114.2563556	bGA	980 days
CHF2M6R2	118	187	188.4287078	bGA	980 days
CHF2M6R3	72	92	93.29514451	bGA	980 days
CHF4M6R1	207	249.8571429	236.0197388	dF68	980 days
CHF4M6R2	204	238.5	235.8942467	dF68	980 days
CHF4M6R3	176	191.1111111	194.4949124	dF68	980 days
CHF5M6R1	120	129.1	137.4540869	eFA+F68	980 days
CHF5M6R2	94	124	115.8401899	eFA+F68	980 days
CHF5M6R3	95	104.1666667	104.9210344	eFA+F68	980 days
CHF6M6R1	112	121.4285714	125.8169014	fGA+F68	980 days
CHF6M6R2	107	127	129.3271952	fGA+F68	980 days
CHF6M6R3	118	135.2727273	139.7860993	fGA+F68	980 days
