	Richness	Chao1	ACE	method	days
CHF1M0R1	107	141	137.78775	aFA	0 days
CHF2M0R1	107	141	137.78775	bGA	0 days
CHF4M0R1	107	141	137.78775	dF68	0 days
CHF5M0R1	107	141	137.78775	eFA+F68	0 days
CHF6M0R1	107	141	137.78775	fGA+F68	0 days
CHF1M1R1	26	41.6	50.13481756	aFA	30 days
CHF2M1R1	28	50.75	67.66666667	bGA	30 days
CHF4M1R1	80	113	91.47107438	dF68	30 days
CHF6M1R1	26	45.5	67.35925926	fGA+F68	30 days
CHF1M3R1	36	47.375	49.88742787	aFA	90 days
CHF1M3R2	21	39	62.88521739	aFA	90 days
CHF1M3R3	40	55	63.45384115	aFA	90 days
CHF2M3R1	23	53.33333333	76.58333333	bGA	90 days
CHF2M3R2	23	35	41.36734694	bGA	90 days
CHF2M3R3	27	42	45.33333333	bGA	90 days
CHF4M3R1	85	127.75	133.0059016	dF68	90 days
CHF4M3R2	30	56.25	75	dF68	90 days
CHF4M3R3	86	95.42857143	102.5980471	dF68	90 days
CHF5M3R1	46	83.5	86.57129024	eFA+F68	90 days
CHF5M3R2	22	67.5	127	eFA+F68	90 days
CHF5M3R3	36	53.14285714	57.10163056	eFA+F68	90 days
CHF6M3R1	27	36	40.35294118	fGA+F68	90 days
CHF6M3R2	22	29	39.86615385	fGA+F68	90 days
CHF6M3R3	26	41	75.24603175	fGA+F68	90 days
CHF1M6R1	34	40.11111111	41.52631579	aFA	980 days
CHF1M6R2	32	83	81.51459459	aFA	980 days
CHF1M6R3	24	26.14285714	29.23452473	aFA	980 days
CHF2M6R1	28	46.33333333	74.6343149	bGA	980 days
CHF2M6R2	27	36.16666667	40.42329873	bGA	980 days
CHF2M6R3	13	20.5	25.36	bGA	980 days
CHF4M6R1	113	124.1428571	128.7207803	dF68	980 days
CHF4M6R2	114	159.3333333	143.506101	dF68	980 days
CHF4M6R3	117	134.1428571	142.615255	dF68	980 days
CHF5M6R1	21	33	46.22068329	eFA+F68	980 days
CHF5M6R2	15	25.5	36.875	eFA+F68	980 days
CHF5M6R3	24	39.6	42.74489796	eFA+F68	980 days
CHF6M6R1	19	29.5	32.76954733	fGA+F68	980 days
CHF6M6R2	22	55	47.54169797	fGA+F68	980 days
CHF6M6R3	25	52.5	52.21938776	fGA+F68	980 days
