	Richness	Chao1	ACE	method	days
APF1M0R1	186	219.0666667	214.7141894	aFA	0 days
APF2M0R1	186	219.0666667	214.7141894	bGA	0 days
APF4M0R1	186	219.0666667	214.7141894	dF68	0 days
APF5M0R1	186	219.0666667	214.7141894	eFA+F68	0 days
APF6M0R1	186	219.0666667	214.7141894	fGA+F68	0 days
APF1M1R1	79	118	94.94709729	aFA	30 days
APF1M1R2	74	83.42857143	87.98759305	aFA	30 days
APF1M1R3	82	112.6	108.3789965	aFA	30 days
APF2M1R1	77	90.2	93.54710744	bGA	30 days
APF2M1R2	82	109.1428571	111.0894643	bGA	30 days
APF2M1R3	75	91.5	90.2265625	bGA	30 days
APF4M1R1	125	142.5	141.3148327	dF68	30 days
APF4M1R2	140	330	175.1030871	dF68	30 days
APF4M1R3	192	202	205.0677156	dF68	30 days
APF5M1R1	52	66	66.91397849	eFA+F68	30 days
APF5M1R2	68	103	109.7524842	eFA+F68	30 days
APF5M1R3	112	139	145.3835478	eFA+F68	30 days
APF6M1R1	83	103	114.5885037	fGA+F68	30 days
APF6M1R2	93	117	123.3098592	fGA+F68	30 days
APF6M1R3	72	75.5	77.81741893	fGA+F68	30 days
APF1M3R1	82	87.14285714	94.12136633	aFA	90 days
APF1M3R2	69	99.33333333	101.41	aFA	90 days
APF1M3R3	81	94	99.7005462	aFA	90 days
APF2M3R1	101	123.6666667	132.5703841	bGA	90 days
APF2M3R2	80	89	90.25629783	bGA	90 days
APF2M3R3	101	146.3333333	125.1584602	bGA	90 days
APF5M3R1	93	133	121.3854102	eFA+F68	90 days
APF4M3R1	144	159	154.6832704	dF68	90 days
APF4M3R2	139	146.8	148.9163201	dF68	90 days
APF4M3R3	139	152	145.5865766	dF68	90 days
APF5M3R2	87	98.25	103.4780521	eFA+F68	90 days
APF5M3R3	81	133.5	109.8413612	eFA+F68	90 days
APF6M3R1	77	116	100.9949358	fGA+F68	90 days
APF6M3R2	81	107.25	110.7870654	fGA+F68	90 days
APF6M3R3	98	109.25	107.3417821	fGA+F68	90 days
APF1M6R1	95	99.66666667	102.064968	aFA	980 days
APF1M6R3	97	116	123.6763955	aFA	980 days
APF2M6R1	92	107.6	110.8780458	bGA	980 days
APF2M6R2	87	192	116.5275	bGA	980 days
APF2M6R3	78	87	91.9920534	bGA	980 days
APF4M6R1	149	161.3529412	161.3056385	dF68	980 days
APF4M6R2	127	136.5454545	135.1961437	dF68	980 days
APF4M6R3	147	189.8571429	183.4610661	dF68	980 days
APF5M6R1	58	65	69.52910927	eFA+F68	980 days
APF5M6R2	100	134	120.0679052	eFA+F68	980 days
APF6M6R1	96	117.8571429	117.033606	fGA+F68	980 days
APF6M6R2	89	124	117.3855685	fGA+F68	980 days
APF6M6R3	127	177.6	165.0383103	fGA+F68	980 days
