	Richness	Chao1	ACE	method	days
APF1M0R1	143	171.5	163.4899383	aFA	0 days
APF2M0R1	143	171.5	163.4899383	bGA	0 days
APF4M0R1	143	171.5	163.4899383	dF68	0 days
APF5M0R1	143	171.5	163.4899383	eFA+F68	0 days
APF6M0R1	143	171.5	163.4899383	fGA+F68	0 days
APF1M1R1	22	67.5	64.98536036	aFA	30 days
APF1M1R2	30	56.25	58.64431487	aFA	30 days
APF1M1R3	28	43.6	55.47368421	aFA	30 days
APF2M1R1	30	261	NA	bGA	30 days
APF2M1R2	28	39	44.61538462	bGA	30 days
APF2M1R3	28	46.2	58.25555556	bGA	30 days
APF4M1R1	96	100.5	103.9628906	dF68	30 days
APF4M1R2	115	125.1111111	127.9777883	dF68	30 days
APF4M1R3	97	108.375	115.7232457	dF68	30 days
APF5M1R1	15	22	33.80592593	eFA+F68	30 days
APF5M1R2	25	46	49.71938776	eFA+F68	30 days
APF5M1R3	75	102.5555556	130.454886	eFA+F68	30 days
APF6M1R1	19	37.33333333	87.29166667	fGA+F68	30 days
APF6M1R2	31	52	65.62121212	fGA+F68	30 days
APF6M1R3	22	55	72.37114951	fGA+F68	30 days
APF1M3R1	25	32.2	39.94299789	aFA	90 days
APF1M3R2	36	39	42.88373702	aFA	90 days
APF1M3R3	28	42	38.79931094	aFA	90 days
APF2M3R1	24	31.5	43.06122449	bGA	90 days
APF2M3R2	39	105	75.41632381	bGA	90 days
APF2M3R3	34	48	45.6584022	bGA	90 days
APF5M3R1	27	41	45.26086957	eFA+F68	90 days
APF4M3R1	139	154.6	149.2431627	dF68	90 days
APF4M3R2	134	140	139.3265306	dF68	90 days
APF4M3R3	143	164	157.7562629	dF68	90 days
APF5M3R2	20	21.2	22.66666667	eFA+F68	90 days
APF5M3R3	17	19	22.13636364	eFA+F68	90 days
APF6M3R1	25	35	38.39409722	fGA+F68	90 days
APF6M3R2	29	51.5	63.72413793	fGA+F68	90 days
APF6M3R3	31	36	49.74104683	fGA+F68	90 days
APF1M6R1	53	80.5	73.49131944	aFA	980 days
APF1M6R3	60	94.2	91.84809028	aFA	980 days
APF2M6R1	42	47	61.59201389	bGA	980 days
APF2M6R2	32	39.5	53	bGA	980 days
APF2M6R3	43	58	71.89687236	bGA	980 days
APF4M6R1	139	146.8	145.7976026	dF68	980 days
APF4M6R2	124	129	131.8705179	dF68	980 days
APF4M6R3	119	126	125.5852766	dF68	980 days
APF5M6R1	29	30.5	30.7578125	eFA+F68	980 days
APF5M6R2	68	98.6	89.39076327	eFA+F68	980 days
APF6M6R1	47	69.75	76.98957476	fGA+F68	980 days
APF6M6R2	43	52.16666667	55.375	fGA+F68	980 days
APF6M6R3	65	71.42857143	73.67901893	fGA+F68	980 days
