	Richness	Chao1	ACE	method	days
XWF1M0R1	124	179.2	167.0376009	aFA	0 days
XWF2M0R1	124	179.2	167.0376009	bGA	0 days
XWF4M0R1	124	179.2	167.0376009	dF68	0 days
XWF5M0R1	124	179.2	167.0376009	eFA+F68	0 days
XWF6M0R1	124	179.2	167.0376009	fGA+F68	0 days
XWF1M1R1	81	123.1666667	136.8687327	aFA	30 days
XWF2M1R1	104	138.2	129.4441869	bGA	30 days
XWF4M1R1	101	118.1428571	119.5910424	dF68	30 days
XWF5M1R1	90	127.5	136.6147416	eFA+F68	30 days
XWF6M1R1	123	161.5	147.7711934	fGA+F68	30 days
XWF1M3R1	97	202.6	166.7078519	aFA	90 days
XWF1M3R2	105	148.5	173.7690319	aFA	90 days
XWF1M3R3	99	139.625	141.1815336	aFA	90 days
XWF2M3R1	87	141.0909091	148.7012625	bGA	90 days
XWF4M3R1	126	155.5454545	160.8845461	dF68	90 days
XWF4M3R2	86	121	119.8096304	dF68	90 days
XWF4M3R3	99	141.1666667	146.8343512	dF68	90 days
XWF5M3R1	110	173.9090909	182.5413699	eFA+F68	90 days
XWF5M3R2	64	94	113.2683636	eFA+F68	90 days
XWF5M3R3	92	173.25	173.7503372	eFA+F68	90 days
XWF6M3R1	83	111.5	107.1318648	fGA+F68	90 days
XWF6M3R2	87	135.3333333	148.2287055	fGA+F68	90 days
XWF6M3R3	95	149.1666667	151.3338742	fGA+F68	90 days
XWF1M6R1	82	117	98.19562249	aFA	980 days
XWF1M6R2	120	133.3333333	132.4326346	aFA	980 days
XWF1M6R3	101	130.0625	148.0150547	aFA	980 days
XWF2M6R1	94	131.5	151.8918919	bGA	980 days
XWF2M6R2	97	114	120.794081	bGA	980 days
XWF2M6R3	88	107.125	120	bGA	980 days
XWF4M6R1	124	187.25	160.8661374	dF68	980 days
XWF4M6R2	124	229	142.390625	dF68	980 days
XWF4M6R3	168	197.25	190.8613944	dF68	980 days
XWF5M6R1	80	90.11111111	100.1292099	eFA+F68	980 days
XWF5M6R2	95	110.6	112.5770321	eFA+F68	980 days
XWF5M6R3	81	124.875	149.2305645	eFA+F68	980 days
XWF6M6R1	70	108.25	103.0581114	fGA+F68	980 days
XWF6M6R2	70	77.5	77.22633136	fGA+F68	980 days
XWF6M6R3	64	110.2	124.1423541	fGA+F68	980 days
