	Richness	Chao1	ACE	method	days
XWF1M0R1	123	161	156.9053254	aFA	0 days
XWF2M0R1	123	161	156.9053254	bGA	0 days
XWF4M0R1	123	161	156.9053254	dF68	0 days
XWF5M0R1	123	161	156.9053254	eFA+F68	0 days
XWF6M0R1	123	161	156.9053254	fGA+F68	0 days
XWF1M1R1	21	66.5	88.26222222	aFA	30 days
XWF2M1R1	25	41.5	55	bGA	30 days
XWF4M1R1	128	150.75	158.8319823	dF68	30 days
XWF5M1R1	35	50.16666667	58.26419753	eFA+F68	30 days
XWF6M1R1	131	146	149.0852273	fGA+F68	30 days
XWF1M3R1	45	56.66666667	60.7788671	aFA	90 days
XWF1M3R2	31	61	72.84269014	aFA	90 days
XWF1M3R3	33	48	61.87222222	aFA	90 days
XWF2M3R1	40	63.75	73.34560054	bGA	90 days
XWF4M3R1	120	137.1428571	140.2357477	dF68	90 days
XWF4M3R2	108	114.4285714	117.2595608	dF68	90 days
XWF4M3R3	115	132.5	133.1108542	dF68	90 days
XWF5M3R1	30	39.75	43.99401986	eFA+F68	90 days
XWF5M3R2	15	29	38.35353535	eFA+F68	90 days
XWF5M3R3	35	98.25	100.8460115	eFA+F68	90 days
XWF6M3R1	22	32.5	43.875	fGA+F68	90 days
XWF6M3R2	26	44.33333333	54.60416667	fGA+F68	90 days
XWF6M3R3	34	64	76.5830721	fGA+F68	90 days
XWF1M6R1	47	57.46153846	74.32759583	aFA	980 days
XWF1M6R2	59	84.09090909	109.4568966	aFA	980 days
XWF1M6R3	58	98.625	99.72151899	aFA	980 days
XWF2M6R1	38	90.5	92.51724138	bGA	980 days
XWF2M6R2	32	36.2	38.8162963	bGA	980 days
XWF2M6R3	36	46.5	49.76954733	bGA	980 days
XWF4M6R1	126	133	134	dF68	980 days
XWF4M6R2	141	201	160.0381065	dF68	980 days
XWF4M6R3	173	184.375	184.3319862	dF68	980 days
XWF5M6R1	23	75.5	143	eFA+F68	980 days
XWF5M6R2	14	19	23.44444444	eFA+F68	980 days
XWF5M6R3	32	47.6	53.30666189	eFA+F68	980 days
XWF6M6R1	35	50	57.4744898	fGA+F68	980 days
XWF6M6R2	23	32.33333333	37.67055394	fGA+F68	980 days
XWF6M6R3	35	51.5	78.80340265	fGA+F68	980 days
