	Shannon	Inv_Simpson	Pielou_evenness	Simpson_evenness	method	days	PPEs
CHF1M0R1	1.072282476	1.435292544	0.206487846	0.007973847	aFA	0 days	96.22082286
CHF2M0R1	1.072282476	1.435292544	0.206487846	0.007973847	bGA	0 days	96.22082286
CHF4M0R1	1.072282476	1.435292544	0.206487846	0.007973847	dF68	0 days	96.22082286
CHF5M0R1	1.072282476	1.435292544	0.206487846	0.007973847	eFA+F68	0 days	96.22082286
CHF6M0R1	1.072282476	1.435292544	0.206487846	0.007973847	fGA+F68	0 days	96.22082286
CHF1M1R1	2.853732758	11.38624251	0.621035545	0.115012551	aFA	30 days	3.77499007
CHF2M1R1	2.330775112	4.562065923	0.492119394	0.040018122	bGA	30 days	44.69199064
CHF4M1R1	1.068666256	1.513066438	0.21056742	0.009456665	dF68	30 days	88.36312513
CHF6M1R1	1.336476991	2.069126327	0.300038794	0.024059608	fGA+F68	30 days	68.68238225
CHF1M3R1	2.834838887	9.401984926	0.580576262	0.071227159	aFA	90 days	5.081573323
CHF1M3R2	2.717280817	5.454388708	0.56093639	0.042947943	aFA	90 days	3.940781766
CHF1M3R3	3.084285348	10.67343011	0.64423826	0.088945251	aFA	90 days	4.640093229
CHF2M3R1	3.282292795	13.22346956	0.686798071	0.111121593	bGA	90 days	10.62053693
CHF2M3R2	2.838512084	8.332277253	0.591875741	0.068861795	bGA	90 days	8.902149524
CHF2M3R3	3.514272562	18.02753273	0.720847246	0.137614754	bGA	90 days	18.13855407
CHF4M3R1	1.442896007	1.724757731	0.273110045	0.008755115	dF68	90 days	86.43734549
CHF4M3R2	3.299435307	14.79607556	0.662057734	0.101342983	dF68	90 days	21.71644795
CHF4M3R3	1.55904314	1.745110227	0.284463757	0.007271293	dF68	90 days	86.46398069
CHF5M3R1	2.712074387	6.452210593	0.562638168	0.052033956	eFA+F68	90 days	4.685824628
CHF5M3R2	2.759947748	7.299382332	0.570675532	0.057931606	eFA+F68	90 days	1.851614557
CHF5M3R3	3.278560839	13.64449951	0.681304081	0.11093089	eFA+F68	90 days	21.34319416
CHF6M3R1	3.39117568	16.57696092	0.69133246	0.122792303	fGA+F68	90 days	15.18872923
CHF6M3R2	2.594865728	6.298849352	0.543918941	0.053380079	fGA+F68	90 days	4.725312842
CHF6M3R3	3.345312745	15.2961919	0.688362527	0.118575131	fGA+F68	90 days	21.28726665
CHF1M6R1	2.628784388	7.751465575	0.542667808	0.061035162	aFA	980 days	2.970240147
CHF1M6R2	2.71884329	8.314161963	0.563104106	0.066513296	aFA	980 days	2.135462213
CHF1M6R3	2.689743553	8.334516495	0.603846843	0.096912982	aFA	980 days	4.215959676
CHF2M6R1	2.933344047	10.48378771	0.644142149	0.11035566	bGA	980 days	18.01609726
CHF2M6R2	2.868724311	9.80647474	0.594146211	0.078451798	bGA	980 days	17.97334834
CHF2M6R3	2.664351364	9.104417093	0.638261664	0.140067955	bGA	980 days	18.9467302
CHF4M6R1	1.873909931	2.038953839	0.336529094	0.007782267	dF68	980 days	84.46453535
CHF4M6R2	1.909722693	2.044373884	0.34022432	0.007461219	dF68	980 days	84.03827551
CHF4M6R3	1.861178275	2.041260509	0.340110785	0.008576725	dF68	980 days	84.63983536
CHF5M6R1	2.600287431	6.08628938	0.533370705	0.046460224	eFA+F68	980 days	2.071935886
CHF5M6R2	2.890242643	10.15848614	0.619766354	0.095834775	eFA+F68	980 days	4.228266185
CHF5M6R3	2.482013775	5.682170197	0.533312187	0.054115907	eFA+F68	980 days	1.774171239
CHF6M6R1	2.755463068	6.909908216	0.57260131	0.056178116	fGA+F68	980 days	34.91058565
CHF6M6R2	2.701806306	7.241465431	0.572598697	0.064655941	fGA+F68	980 days	31.66370454
CHF6M6R3	2.459775197	5.576534666	0.527459488	0.052608818	fGA+F68	980 days	38.70994253
