	Shannon	Inv_Simpson	Pielou_evenness	Simpson_evenness	method	days	PPEs
APF1M0R1	3.49928956	15.70303597	0.625463822	0.058375598	aFA	0 days	45.63932746
APF2M0R1	3.49928956	15.70303597	0.625463822	0.058375598	bGA	0 days	45.63932746
APF4M0R1	3.49928956	15.70303597	0.625463822	0.058375598	dF68	0 days	45.63932746
APF5M0R1	3.49928956	15.70303597	0.625463822	0.058375598	eFA+F68	0 days	45.63932746
APF6M0R1	3.49928956	15.70303597	0.625463822	0.058375598	fGA+F68	0 days	45.63932746
APF1M1R1	2.222138986	5.362426619	0.491429209	0.058287246	aFA	30 days	0.398022818
APF1M1R2	2.426147949	6.329943406	0.524575613	0.062058269	aFA	30 days	1.122202509
APF1M1R3	2.180533419	4.555560438	0.485789723	0.051186072	aFA	30 days	1.636363636
APF2M1R1	2.527352212	6.732491312	0.556281803	0.071622248	bGA	30 days	2.280248927
APF2M1R2	2.610557193	7.244088604	0.564448116	0.071020477	bGA	30 days	3.585336598
APF2M1R3	2.576920017	7.429044773	0.572673114	0.082544942	bGA	30 days	2.443528442
APF4M1R1	2.945200096	8.227224014	0.565353282	0.044957508	dF68	30 days	56.89196507
APF4M1R2	3.040539205	8.749823698	0.570685036	0.042474872	dF68	30 days	54.52051982
APF4M1R3	2.983431058	9.140672928	0.54774645	0.039399452	dF68	30 days	47.04503234
APF5M1R1	2.057061989	4.518342958	0.489230052	0.067437955	eFA+F68	30 days	0.649552186
APF5M1R2	2.556751736	6.842470381	0.564080665	0.07357495	eFA+F68	30 days	1.381221594
APF5M1R3	2.529762847	6.479518861	0.486633508	0.035798447	eFA+F68	30 days	1.868499557
APF6M1R1	2.472503826	6.261705811	0.546797751	0.06806202	fGA+F68	30 days	2.617411778
APF6M1R2	2.635157622	8.188398633	0.568567791	0.079499016	fGA+F68	30 days	1.942626192
APF6M1R3	2.490822111	7.068117945	0.565232766	0.08619656	fGA+F68	30 days	1.479694045
APF1M3R1	2.426701641	5.852165912	0.531664444	0.060960062	aFA	90 days	3.287995587
APF1M3R2	2.22412392	4.38698973	0.482962373	0.043869897	aFA	90 days	4.127858996
APF1M3R3	2.305329937	4.935324366	0.493347824	0.046124527	aFA	90 days	3.99698625
APF2M3R1	3.305701413	14.68794663	0.686944051	0.1194142	bGA	90 days	10.63916883
APF2M3R2	2.944849935	10.03817523	0.622933859	0.088833409	bGA	90 days	9.204419167
APF2M3R3	2.813834733	8.356517524	0.589817805	0.070817945	bGA	90 days	4.78193189
APF5M3R1	2.892759659	9.660592292	0.61191503	0.085491967	eFA+F68	90 days	3.909827404
APF4M3R1	3.545006536	20.01401001	0.648311548	0.0844473	dF68	90 days	61.09261627
APF4M3R2	3.536312878	19.2809642	0.647222133	0.081699001	dF68	90 days	58.72692614
APF4M3R3	3.445078549	17.69644651	0.632503151	0.076277787	dF68	90 days	59.7912234
APF5M3R2	2.73890833	8.001959878	0.589723903	0.076941922	eFA+F68	90 days	3.122809634
APF5M3R3	2.694197519	7.870030709	0.587615404	0.080306436	eFA+F68	90 days	3.413624102
APF6M3R1	2.888533004	9.09309663	0.63577935	0.096735071	fGA+F68	90 days	7.197992319
APF6M3R2	2.888329899	8.107084852	0.623192835	0.078709562	fGA+F68	90 days	9.636717758
APF6M3R3	2.600225063	6.210830105	0.547002362	0.053541639	fGA+F68	90 days	4.884514697
APF1M6R1	3.065330764	8.980405652	0.61593224	0.061933832	aFA	980 days	31.63781872
APF1M6R3	3.310551585	12.87694062	0.654744985	0.08201873	aFA	980 days	14.53099384
APF2M6R1	3.603312263	22.12652013	0.753969272	0.185937144	bGA	980 days	28.98151112
APF2M6R2	3.630138297	23.7670176	0.783247155	0.230747744	bGA	980 days	24.14345059
APF2M6R3	3.490251567	17.95539483	0.731603919	0.152164363	bGA	980 days	31.25556545
APF4M6R1	3.38901344	16.10333879	0.609039628	0.061698616	dF68	980 days	53.74361396
APF4M6R2	3.342022179	14.88772623	0.618072131	0.066761104	dF68	980 days	51.41801727
APF4M6R3	3.409252819	16.50242365	0.630505736	0.0740019	dF68	980 days	53.87820179
APF5M6R1	3.231564407	16.45472844	0.750816806	0.222361195	eFA+F68	980 days	28.0434953
APF5M6R2	3.257497535	11.20503702	0.637981262	0.067909315	eFA+F68	980 days	16.75355904
APF6M6R1	3.130628373	11.53042564	0.633519811	0.082360183	fGA+F68	980 days	20.83221421
APF6M6R2	3.387252542	16.58409623	0.693710823	0.125637093	fGA+F68	980 days	19.57702506
APF6M6R3	3.58203654	20.01182837	0.692785539	0.11370357	fGA+F68	980 days	34.57798624
