	Shannon	Inv_Simpson	Pielou_evenness	Simpson_evenness	method	days	PPEs
XWF1M0R1	2.364962213	4.256567881	0.447637898	0.021606944	aFA	0 days	89.58801844
XWF2M0R1	2.364962213	4.256567881	0.447637898	0.021606944	bGA	0 days	89.58801844
XWF4M0R1	2.364962213	4.256567881	0.447637898	0.021606944	dF68	0 days	89.58801844
XWF5M0R1	2.364962213	4.256567881	0.447637898	0.021606944	eFA+F68	0 days	89.58801844
XWF6M0R1	2.364962213	4.256567881	0.447637898	0.021606944	fGA+F68	0 days	89.58801844
XWF1M1R1	2.409235362	6.010780671	0.561533187	0.082339461	aFA	30 days	2.037519493
XWF2M1R1	2.830976264	9.504504107	0.61081808	0.092276739	bGA	30 days	3.979561842
XWF4M1R1	3.311072653	12.28764595	0.623177921	0.060530276	dF68	30 days	89.97445069
XWF5M1R1	2.47236404	6.734811774	0.519167102	0.057562494	eFA+F68	30 days	3.915211531
XWF6M1R1	3.32072095	11.31156212	0.627343609	0.056842021	fGA+F68	30 days	82.82681315
XWF1M3R1	2.934171626	10.65931162	0.635773565	0.105537739	aFA	90 days	4.22193661
XWF1M3R2	2.367492615	5.399964386	0.512986087	0.053464994	aFA	90 days	2.654225758
XWF1M3R3	2.434227003	6.110108781	0.532105091	0.062990812	aFA	90 days	2.533167224
XWF2M3R1	1.854839262	3.73408689	0.387434457	0.031117391	bGA	90 days	1.00936055
XWF4M3R1	2.496820816	5.234815853	0.474906898	0.027264666	dF68	90 days	55.6335262
XWF4M3R2	2.810692227	8.487303877	0.553132958	0.052716173	dF68	90 days	91.74920496
XWF4M3R3	2.986749005	10.43776645	0.578933319	0.059987164	dF68	90 days	86.53030469
XWF5M3R1	2.38511013	6.437725684	0.492365404	0.050690753	eFA+F68	90 days	1.449165056
XWF5M3R2	1.99896125	4.118556601	0.461575695	0.054191534	eFA+F68	90 days	0.665760042
XWF5M3R3	2.614818942	6.940179869	0.578270942	0.075436738	eFA+F68	90 days	1.093512255
XWF6M3R1	2.379356075	5.71444918	0.515556651	0.056578705	fGA+F68	90 days	3.299684176
XWF6M3R2	2.100841287	4.518387586	0.456191889	0.045183876	fGA+F68	90 days	5.394790896
XWF6M3R3	2.311307877	5.524725534	0.49869321	0.053638112	fGA+F68	90 days	2.827379387
XWF1M6R1	1.8468353	2.544385643	0.384435306	0.02085562	aFA	980 days	1.814890603
XWF1M6R2	3.112685556	12.22666314	0.612564034	0.075942007	aFA	980 days	3.652383998
XWF1M6R3	2.525632435	7.514639501	0.504054334	0.050097597	aFA	980 days	2.506638543
XWF2M6R1	2.911552564	8.14933594	0.600068921	0.063666687	bGA	980 days	13.73697374
XWF2M6R2	2.921384925	10.21342258	0.611280485	0.08582708	bGA	980 days	10.42252271
XWF2M6R3	3.005421548	10.17288625	0.632242458	0.087697295	bGA	980 days	11.16150121
XWF4M6R1	3.529619704	15.72385335	0.658930805	0.07416912	dF68	980 days	86.29050322
XWF4M6R2	3.295145054	11.99794049	0.601692136	0.050200588	dF68	980 days	87.26473739
XWF4M6R3	3.478064998	14.23398242	0.616469742	0.050475115	dF68	980 days	83.78854469
XWF5M6R1	2.71008784	8.220560623	0.599339795	0.08935392	eFA+F68	980 days	3.833042713
XWF5M6R2	3.037614118	13.33207414	0.659609525	0.133320741	eFA+F68	980 days	1.849948613
XWF5M6R3	2.73317832	8.811805802	0.579247425	0.078676838	eFA+F68	980 days	2.780616127
XWF6M6R1	2.754125631	7.548296425	0.593000393	0.072579773	fGA+F68	980 days	13.66364243
XWF6M6R2	3.094147453	11.34757549	0.691068727	0.128949721	fGA+F68	980 days	12.48751424
XWF6M6R3	0.84147035	1.399860734	0.195505954	0.018917037	fGA+F68	980 days	1.739300371
