	MDS1	MDS2	Lake	method
CHF0M0R1	-0.974858424	0.206427562	Lake Chaohu	aFA
CHF1M1R1	0.442037792	-0.171957255	Lake Chaohu	aFA
CHF2M1R1	0.267771288	-0.417331669	Lake Chaohu	bGA
CHF4M1R1	-1.022740409	0.175450819	Lake Chaohu	dF68
CHF6M1R1	0.21650081	-0.480677608	Lake Chaohu	fGA+F68
CHF1M3R1	0.490094254	-0.344713423	Lake Chaohu	aFA
CHF1M3R2	0.582545639	-0.298220869	Lake Chaohu	aFA
CHF1M3R3	0.539550237	-0.351603553	Lake Chaohu	aFA
CHF2M3R1	0.554966934	-0.302870682	Lake Chaohu	bGA
CHF2M3R2	0.535973154	-0.403120541	Lake Chaohu	bGA
CHF2M3R3	0.596689435	-0.47257956	Lake Chaohu	bGA
CHF4M3R1	-0.924309024	0.07760187	Lake Chaohu	dF68
CHF4M3R2	0.570090098	-0.384044862	Lake Chaohu	dF68
CHF4M3R3	-0.92455553	0.092108838	Lake Chaohu	dF68
CHF5M3R1	0.616362139	-0.527021578	Lake Chaohu	eFA+F68
CHF5M3R2	0.480673468	-0.531333823	Lake Chaohu	eFA+F68
CHF5M3R3	0.483382846	-0.462969613	Lake Chaohu	eFA+F68
CHF6M3R1	0.391540724	-0.329892806	Lake Chaohu	fGA+F68
CHF6M3R2	0.614320172	-0.394835564	Lake Chaohu	fGA+F68
CHF6M3R3	0.497265651	-0.404607365	Lake Chaohu	fGA+F68
CHF1M6R1	0.386620409	0.433546538	Lake Chaohu	aFA
CHF1M6R2	0.487949555	0.12053088	Lake Chaohu	aFA
CHF1M6R3	0.569322715	0.184267736	Lake Chaohu	aFA
CHF2M6R1	0.52970965	0.180402781	Lake Chaohu	bGA
CHF2M6R2	0.492685468	0.197877172	Lake Chaohu	bGA
CHF2M6R3	0.530681874	0.289419335	Lake Chaohu	bGA
CHF4M6R1	-0.995763457	0.118648259	Lake Chaohu	dF68
CHF4M6R2	-0.992489309	0.182080406	Lake Chaohu	dF68
CHF4M6R3	-1.025259783	0.239922797	Lake Chaohu	dF68
CHF5M6R1	0.398683657	0.162491948	Lake Chaohu	eFA+F68
CHF5M6R2	0.434147271	0.072176035	Lake Chaohu	eFA+F68
CHF5M6R3	0.401629203	0.099058366	Lake Chaohu	eFA+F68
CHF6M6R1	0.442514845	-0.010739497	Lake Chaohu	fGA+F68
CHF6M6R2	0.361312278	-0.004959821	Lake Chaohu	fGA+F68
CHF6M6R3	0.511788414	0.029465392	Lake Chaohu	fGA+F68
XWF0M0R1	-0.764897959	0.350484173	Lake Xuanwu	aFA
XWF1M1R1	0.410980385	0.145275304	Lake Xuanwu	aFA
XWF2M1R1	0.355081517	0.165671875	Lake Xuanwu	bGA
XWF4M1R1	-0.906886692	0.554757346	Lake Xuanwu	dF68
XWF5M1R1	0.178284874	0.226078194	Lake Xuanwu	eFA+F68
XWF6M1R1	-0.742757907	0.575061042	Lake Xuanwu	fGA+F68
XWF1M3R1	0.305796058	0.329872566	Lake Xuanwu	aFA
XWF1M3R2	0.470516811	0.355981693	Lake Xuanwu	aFA
XWF1M3R3	0.428593784	0.321270724	Lake Xuanwu	aFA
XWF2M3R1	0.148449525	0.400057306	Lake Xuanwu	bGA
XWF4M3R1	-0.78992784	0.504217947	Lake Xuanwu	dF68
XWF4M3R2	-0.893007549	0.46810787	Lake Xuanwu	dF68
XWF4M3R3	-0.810928126	0.441156858	Lake Xuanwu	dF68
XWF5M3R1	0.371330386	0.357967993	Lake Xuanwu	eFA+F68
XWF5M3R2	0.398660795	0.32910463	Lake Xuanwu	eFA+F68
XWF5M3R3	0.422356767	0.19247163	Lake Xuanwu	eFA+F68
XWF6M3R1	0.293383201	0.542687623	Lake Xuanwu	fGA+F68
XWF6M3R2	0.346508827	0.406081198	Lake Xuanwu	fGA+F68
XWF6M3R3	0.321464357	0.385712993	Lake Xuanwu	fGA+F68
XWF1M6R1	0.179841278	0.290457193	Lake Xuanwu	aFA
XWF1M6R2	0.389736245	0.015837493	Lake Xuanwu	aFA
XWF1M6R3	0.100853216	0.27894012	Lake Xuanwu	aFA
XWF2M6R1	0.131279484	0.347641272	Lake Xuanwu	bGA
XWF2M6R2	0.238520282	0.376735657	Lake Xuanwu	bGA
XWF2M6R3	0.174663941	0.537701705	Lake Xuanwu	bGA
XWF4M6R1	-0.920074287	0.59923458	Lake Xuanwu	dF68
XWF4M6R2	-0.894519929	0.675575354	Lake Xuanwu	dF68
XWF4M6R3	-0.918667283	0.649972697	Lake Xuanwu	dF68
XWF5M6R1	0.392596478	0.285370218	Lake Xuanwu	eFA+F68
XWF5M6R2	0.506621223	0.090424627	Lake Xuanwu	eFA+F68
XWF5M6R3	0.299884393	0.229558924	Lake Xuanwu	eFA+F68
XWF6M6R1	0.179382015	0.393022357	Lake Xuanwu	fGA+F68
XWF6M6R2	0.242515855	0.330060757	Lake Xuanwu	fGA+F68
XWF6M6R3	0.10907931	0.572266297	Lake Xuanwu	fGA+F68
APF0M0R1	-0.791329978	-0.535979343	Artificial pond 	aFA
