	bray	method	days
CHF1M1R1	0.749103943	aFA	30 days
CHF2M1R1	0.714285714	bGA	30 days
CHF4M1R1	0.505882353	dF68	30 days
CHF6M1R1	0.706766917	fGA+F68	30 days
CHF1M3R1	0.737179487	aFA	90 days
CHF1M3R2	0.771986971	aFA	90 days
CHF1M3R3	0.733333333	aFA	90 days
CHF2M3R1	0.806020067	bGA	90 days
CHF2M3R2	0.780730897	bGA	90 days
CHF2M3R3	0.800643087	bGA	90 days
CHF4M3R1	0.586206897	dF68	90 days
CHF4M3R2	0.748466258	dF68	90 days
CHF4M3R3	0.576190476	dF68	90 days
CHF5M3R1	0.769736842	eFA+F68	90 days
CHF5M3R2	0.751633987	eFA+F68	90 days
CHF5M3R3	0.768976898	eFA+F68	90 days
CHF6M3R1	0.73968254	fGA+F68	90 days
CHF6M3R2	0.771812081	fGA+F68	90 days
CHF6M3R3	0.766990291	fGA+F68	90 days
CHF1M6R1	0.700325733	aFA	980 days
CHF1M6R2	0.718032787	aFA	980 days
CHF1M6R3	0.729323308	aFA	980 days
CHF2M6R1	0.701818182	bGA	980 days
CHF2M6R2	0.724590164	bGA	980 days
CHF2M6R3	0.763265306	bGA	980 days
CHF4M6R1	0.502262443	dF68	980 days
CHF4M6R2	0.50660793	dF68	980 days
CHF4M6R3	0.4784689	dF68	980 days
CHF5M6R1	0.723472669	eFA+F68	980 days
CHF5M6R2	0.748251748	eFA+F68	980 days
CHF5M6R3	0.712280702	eFA+F68	980 days
CHF6M6R1	0.735973597	fGA+F68	980 days
CHF6M6R2	0.719178082	fGA+F68	980 days
CHF6M6R3	0.762237762	fGA+F68	980 days
