	bray	method	days
APF1M1R1	0.778393352	aFA	30 days
APF1M1R2	0.725067385	aFA	30 days
APF1M1R3	0.759776536	aFA	30 days
APF2M1R1	0.746556474	bGA	30 days
APF2M1R2	0.752021563	bGA	30 days
APF2M1R3	0.73816156	bGA	30 days
APF4M1R1	0.451327434	dF68	30 days
APF4M1R2	0.456842105	dF68	30 days
APF4M1R3	0.512974052	dF68	30 days
APF5M1R1	0.779761905	eFA+F68	30 days
APF5M1R2	0.73480663	eFA+F68	30 days
APF5M1R3	0.462222222	eFA+F68	30 days
APF6M1R1	0.772853186	fGA+F68	30 days
APF6M1R2	0.725806452	fGA+F68	30 days
APF6M1R3	0.760683761	fGA+F68	30 days
APF1M3R1	0.715068493	aFA	90 days
APF1M3R2	0.707317073	aFA	90 days
APF1M3R3	0.664893617	aFA	90 days
APF2M3R1	0.68877551	bGA	90 days
APF2M3R2	0.691099476	bGA	90 days
APF2M3R3	0.679586563	bGA	90 days
APF5M3R1	0.748691099	eFA+F68	90 days
APF4M3R1	0.328063241	dF68	90 days
APF4M3R2	0.334653465	dF68	90 days
APF4M3R3	0.333333333	dF68	90 days
APF5M3R2	0.737265416	eFA+F68	90 days
APF5M3R3	0.749318801	eFA+F68	90 days
APF6M3R1	0.724517906	fGA+F68	90 days
APF6M3R2	0.677419355	fGA+F68	90 days
APF6M3R3	0.667532468	fGA+F68	90 days
APF1M6R1	0.589371981	aFA	980 days
APF1M6R3	0.657276995	aFA	980 days
APF2M6R1	0.62371134	bGA	980 days
APF2M6R2	0.688172043	bGA	980 days
APF2M6R3	0.596899225	bGA	980 days
APF4M6R1	0.313207547	dF68	980 days
APF4M6R2	0.317073171	dF68	980 days
APF4M6R3	0.321138211	dF68	980 days
APF5M6R1	0.702623907	eFA+F68	980 days
APF5M6R2	0.67281106	eFA+F68	980 days
APF6M6R1	0.643031785	fGA+F68	980 days
APF6M6R2	0.605985037	fGA+F68	980 days
APF6M6R3	0.514606742	fGA+F68	980 days
