	CHF0M0R1	CHF4M1R1	CHF4M3R1	CHF4M3R2	CHF4M3R3	CHF4M6R1	CHF4M6R2	CHF4M6R3	CHF1M1R1	CHF1M3R1	CHF1M3R2	CHF1M3R3	CHF1M6R1	CHF1M6R2	CHF1M6R3	CHF2M1R1	CHF2M3R1	CHF2M3R2	CHF2M3R3	CHF2M6R1	CHF2M6R2	CHF2M6R3	CHF5M3R1	CHF5M3R2	CHF5M3R3	CHF5M6R1	CHF5M6R2	CHF5M6R3	CHF6M1R1	CHF6M3R1	CHF6M3R2	CHF6M3R3	CHF6M6R1	CHF6M6R2	CHF6M6R3
OTU514	296	411	97	0	66	179	132	366	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU269	123	68	0	0	21	9	7	26	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0
OTU417	10	4	2	0	3	11	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU562	14	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU195	0	0	0	0	117	16	44	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU984	316	0	0	0	4	56	941	147	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU449	25	4	3	0	2	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
OTU47	282406	241791	196221	10164	140890	197590	208338	197935	1069	516	723	208	1384	618	226	19319	5628	3778	13990	23160	12951	21202	2200	258	21324	586	1414	538	45010	4986	2190	16367	24571	28052	58746
OTU601	33	89	82	0	5	67	85	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU129	262	22	356	0	188	695	881	395	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU1340	0	0	0	0	82	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU139	285	551	28	0	97	852	404	742	0	0	0	1	3	1	0	0	0	1	0	1	2	0	3	1	0	2	1	1	0	0	0	0	1	0	1
OTU1841	0	67	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU23	333	351	445	0	472	622	308	675	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	155	0	2	0	188	0	1	0	0	0
OTU247	1811	1959	3681	1	3645	3481	3479	3159	238	0	0	6	3	124	2	20	0	0	0	0	2	2	2	1	0	0	0	1	2	312	1	0	0	99	0
OTU275	828	661	704	2	179	625	1291	1177	2	2	0	1	2	5	0	1	1	0	0	9	13	1	0	70	1	0	0	0	5	1	2	0	3	3	110
OTU329	352	123	373	0	498	532	411	672	0	0	1	2	2	0	0	0	0	0	0	268	60	0	1	0	1	0	0	0	0	0	44	1	0	0	0
OTU347	1	1	1	2	1	255	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU363	538	342	94	0	165	708	335	704	0	2	0	3	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
