	APF0M0R1	APF4M1R1	APF4M1R2	APF4M1R3	APF4M3R1	APF4M3R2	APF4M3R3	APF4M6R1	APF4M6R2	APF4M6R3	APF1M1R1	APF1M1R2	APF1M1R3	APF1M3R1	APF1M3R2	APF1M3R3	APF1M6R1	APF1M6R3	APF2M1R1	APF2M1R2	APF2M1R3	APF2M3R1	APF2M3R2	APF2M3R3	APF2M6R1	APF2M6R2	APF2M6R3	APF5M1R1	APF5M1R2	APF5M1R3	APF5M3R1	APF5M3R2	APF5M3R3	APF5M6R1	APF5M6R2	APF6M6R1	APF6M1R1	APF6M1R2	APF6M1R3	APF6M3R1	APF6M3R2	APF6M3R3	APF6M6R2	APF6M6R3
OTU352	854	26	45	0	2082	2096	1391	291	222	635	0	0	0	1	0	1	111	0	1	1	0	0	298	0	126	1	187	0	0	12	0	0	0	0	107	0	0	0	0	0	204	496	0	85
OTU385	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU502	20	0	0	0	17	53	26	11	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1641	0	8	2	6	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU205	1	22	48	24	24	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU226	2706	73	47	142	3376	3137	2771	1109	1464	2912	0	1	1	2	2	3	302	403	0	0	1	723	592	226	1218	262	842	0	1	10	146	0	0	1685	0	120	0	0	0	54	0	254	405	772
OTU241	4349	173	107	138	9497	9406	6788	3067	3200	7455	0	0	0	671	544	232	71	101	0	0	50	1086	568	513	7060	2121	2653	0	0	39	594	541	641	1380	205	1338	0	1	0	962	129	594	2613	2923
OTU303	522	0	0	0	898	641	508	250	280	582	0	0	0	0	184	0	53	0	1	0	0	0	82	0	0	0	0	0	0	3	0	196	0	0	0	241	0	0	0	0	125	177	0	86
OTU315	400	46	7	22	449	308	341	141	136	287	0	2	0	0	1	2	4	9	1	2	0	1	8	15	54	25	35	0	0	2	0	3	0	17	0	0	10	5	6	16	5	49	11	15
OTU318	21	0	0	0	469	238	225	10	28	63	0	0	0	0	0	151	0	0	0	0	0	0	7	0	35	0	0	0	0	1	0	0	0	0	0	147	0	0	0	0	0	82	0	0
OTU400	91	0	0	0	154	256	188	48	49	35	0	0	0	0	0	0	4	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
OTU417	42	0	0	0	24	18	22	12	10	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU97	3549	73702	78847	72521	22068	21164	11225	1397	1705	2237	6	129	27	748	445	176	1488	759	646	598	647	203	634	420	2325	2863	1615	122	1	151	343	343	279	12935	855	551	298	449	270	1402	797	359	834	773
OTU195	527	408	122	185	1484	1818	1531	194	176	439	0	0	0	0	0	175	0	0	0	1	1	0	265	0	341	487	165	1	1	8	1	0	0	0	147	98	0	124	0	0	0	0	20	47
OTU409	66	0	14	0	121	59	55	4	0	24	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU47	8791	1074	1224	845	14043	13660	10694	4095	4859	8994	12	83	11	355	207	302	426	97	73	732	316	136	629	898	6219	2082	2390	6	191	86	110	504	21	1532	224	114	680	626	145	1306	746	528	1054	1575
OTU1200	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU176	295	599	464	409	582	648	170	152	249	177	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	68
OTU193	3411	1651	1833	1867	2077	3072	2584	1060	1545	3503	1	0	1	0	69	0	0	0	0	0	1	0	0	92	0	830	0	0	0	16	1	0	0	0	149	0	0	0	0	439	0	0	0	444
OTU225	0	0	0	0	0	0	96	5	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU247	5633	4209	4189	3649	4000	3203	2745	2334	2966	5324	1	3	2	185	71	42	146	1	33	16	0	0	516	1	792	3497	528	0	1	14	108	1	0	0	263	0	1	242	76	164	219	229	199	1054
OTU278	61	206	2	1	89	2	229	1	1	20	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	2
OTU289	369	540	545	333	175	88	19	104	126	152	0	0	0	0	0	0	0	1	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0
OTU311	135	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU327	67	4	2	4	47	48	38	19	22	38	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	6	0	0	0	0	0	0	0	0	0	4
OTU328	34	0	0	0	29	0	37	0	68	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72
OTU329	521	300	359	82	1518	1463	950	406	553	739	0	1	0	0	0	177	106	1	0	0	0	0	0	0	0	0	0	0	0	7	45	0	0	0	0	1	0	0	0	0	0	0	0	153
OTU331	15	0	0	0	7	0	8	6	6	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
OTU332	89	0	0	0	13	50	95	44	26	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU338	254	27	30	37	195	211	145	69	89	151	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	13	0	0	0	0	0	0	0	0	0	12
OTU342	1539	115	0	1	2079	1476	1461	1132	814	1960	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	845	187	0	0	11	0	0	0	0	411	155	0	0	0	0	1414	0	165	280
OTU343	396	38	57	45	138	458	252	133	129	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU346	205	1981	0	0	0	201	401	5	127	243	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
