	XWF0M0R1	XWF4M1R1	XWF4M3R1	XWF4M3R2	XWF4M3R3	XWF4M6R1	XWF4M6R2	XWF4M6R3	XWF1M1R1	XWF1M3R1	XWF1M3R2	XWF1M3R3	XWF1M6R1	XWF1M6R2	XWF1M6R3	XWF2M1R1	XWF2M3R1	XWF2M6R1	XWF2M6R2	XWF2M6R3	XWF5M1R1	XWF5M3R1	XWF5M3R2	XWF5M3R3	XWF5M6R1	XWF5M6R2	XWF5M6R3	XWF6M1R1	XWF6M3R1	XWF6M3R2	XWF6M3R3	XWF6M6R1	XWF6M6R2	XWF6M6R3
OTU1160	0	0	0	0	0	92	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2344	0	0	0	0	0	41	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2360	0	0	0	0	0	0	6	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU502	0	42	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU514	0	20	9	55	43	119	4	51	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU618	0	29	137	97	0	82	8	49	0	0	0	0	0	0	0	0	0	34	0	195	0	0	0	0	0	0	0	30	0	0	0	0	0	0
OTU673	0	0	0	0	0	125	133	717	0	0	0	0	0	0	2	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU819	114	254	131	70	25	40	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU837	0	17	73	0	81	215	55	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0
OTU2337	0	0	0	0	0	84	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU239	0	0	0	0	5	20	22	26	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0
OTU244	0	0	0	0	0	5	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU269	0	131	56	179	270	132	22	49	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	534	0	0	0	26	128	0
OTU315	4	3	3	1	4	4	0	4	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0
OTU417	29	10	13	5	9	35	15	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
OTU482	0	0	0	0	0	19	155	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU562	39	621	284	438	412	224	176	191	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	224	0	0	981	0	0	0	0	0	97
OTU572	149	818	288	13	62	12337	15447	3407	0	1	3	2	21	371	6	16	5	345	71	155	1	2	132	2	0	0	1	3572	48	1	102	220	1	178
OTU984	40	0	0	0	0	57	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU47	94538	7163	7865	5709	6577	6776	3355	10282	833	1176	83	9	69	288	42	752	22	1878	1086	583	23	24	6	481	24	3	151	7778	365	621	375	253	2557	198
OTU1306	0	0	0	0	0	124	153	99	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU139	1784	3309	4461	3686	4419	6992	4576	8369	0	6	2	3	93	97	141	1	1	38	0	277	2	0	2	0	0	0	0	6431	0	1	163	0	0	1
OTU1544	0	0	0	0	51	10	56	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU209	0	0	0	0	0	2	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2131	0	0	0	0	0	244	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU247	691	29	981	767	555	88	48	99	1	0	0	0	1	0	0	0	1	0	40	0	2	0	0	0	2	1	1	615	0	0	3	1	0	0
