 OTUID	CHF0M0R1	CHF1M1R1	CHF2M1R1	CHF4M1R1	CHF6M1R1	CHF1M3R1	CHF1M3R2	CHF1M3R3	CHF2M3R1	CHF2M3R2	CHF2M3R3	CHF4M3R1	CHF4M3R2	CHF4M3R3	CHF5M3R1	CHF5M3R2	CHF5M3R3	CHF6M3R1	CHF6M3R2	CHF6M3R3	CHF1M6R1	CHF1M6R2	CHF1M6R3	CHF2M6R1	CHF2M6R2	CHF2M6R3	CHF4M6R1	CHF4M6R2	CHF4M6R3	CHF5M6R1	CHF5M6R2	CHF5M6R3	CHF6M6R1	CHF6M6R2	CHF6M6R3	XWF0M0R1	XWF1M1R1	XWF2M1R1	XWF4M1R1	XWF5M1R1	XWF6M1R1	XWF1M3R1	XWF1M3R2	XWF1M3R3	XWF2M3R1	XWF4M3R1	XWF4M3R2	XWF4M3R3	XWF5M3R1	XWF5M3R2	XWF5M3R3	XWF6M3R1	XWF6M3R2	XWF6M3R3	XWF1M6R1	XWF1M6R2	XWF1M6R3	XWF2M6R1	XWF2M6R2	XWF2M6R3	XWF4M6R1	XWF4M6R2	XWF4M6R3	XWF5M6R1	XWF5M6R2	XWF5M6R3	XWF6M6R1	XWF6M6R2	XWF6M6R3	APF0M0R1	APF1M1R1	APF1M1R2	APF1M1R3	APF2M1R1	APF2M1R2	APF2M1R3	APF4M1R1	APF4M1R2	APF4M1R3	APF5M1R1	APF5M1R2	APF5M1R3	APF6M1R1	APF6M1R2	APF6M1R3	APF1M3R1	APF1M3R2	APF1M3R3	APF2M3R1	APF2M3R2	APF2M3R3	APF5M3R1	APF4M3R1	APF4M3R2	APF4M3R3	APF5M3R2	APF5M3R3	APF6M3R1	APF6M3R2	APF6M3R3	APF1M6R1	APF1M6R3	APF2M6R1	APF2M6R2	APF2M6R3	APF4M6R1	APF4M6R2	APF4M6R3	APF5M6R1	APF5M6R2	APF6M6R1	APF6M6R2	APF6M6R3	Taxonomy	superkingdom	phylum	class	order	family	genus	species
OTU1	166	14	7	3	2	5	22	6	7	5	8	1	15	4	6	5	10	15	4	8	9334	8387	7515	7360	4683	9651	818	779	982	12240	8570	14409	5966	6735	5352	512	11682	10919	753	12402	1227	9107	14781	9630	20385	214	524	462	8964	16345	10350	13908	14036	15047	3105	4164	4508	11100	5860	8468	190	201	119	8099	4935	10458	9362	5087	2346	8	14928	13806	18251	12473	12861	12604	3	1	2	16794	12872	12998	11396	8413	12085	12954	18329	15413	3332	7867	9343	7414	73	180	155	9578	11321	7359	4928	6113	2	17	522	0	5	9	18	3	1	13	21	11	6	Eukaryota{superkingdom}(100);Fungi{superkingdom}(100);Ascomycota{phylum}(100);Saccharomycetes{class}(100);Saccharomycetales{order}(100);Dipodascaceae{family}(100);Geotrichum{genus}(89);Geotrichum_klebahnii{species}(89)	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	Geotrichum_klebahnii
OTU10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	84	0	0	0	0	0	52	0	0	0	0	0	0	0	31	100	0	296	0	0	124	29	14	0	0	0	0	0	0	0	0	0	2	8	0	0	1	62	128	171	0	0	0	0	0	0	0	31	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Eukaryota{superkingdom}(100);Chrysophyceae{class}(83);Chromulinales{order}(78);Chromulinaceae{family}(78);Unassigned{genus}(37);Unassigned{species}(23)	Eukaryota		Chrysophyceae	Chromulinales	Chromulinaceae	Unassigned	Unassigned
OTU100	1	11	3	0	3	3702	2638	5781	1948	613	325	38	574	62	5900	12874	2481	1538	926	740	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	2	0	0	2	0	21	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	1	0	1	1	1	0	2	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	86	1	0	90	88	0	0	2	0	0	0	1	22	Eukaryota{superkingdom}(100);Fungi{superkingdom}(100);Ascomycota{phylum}(100);Pezizomycetes{class}(100);Pezizales{order}(100);Pezizaceae{family}(100);uncultured_Pezizaceae{species}(88)	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae		uncultured_Pezizaceae
OTU1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	122	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Litostomatea{class}(100);Cyclotrichida{order}(100);Mesodiniidae{family}(100);Askenasia{genus}(100);Askenasia_sp._LWW2010032604{species}(100)	Eukaryota		Litostomatea	Cyclotrichida	Mesodiniidae	Askenasia	Askenasia_sp._LWW2010032604
OTU1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Unassigned{genus}(40);Unassigned{species}(40)	Eukaryota					Unassigned	Unassigned
OTU1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Synurophyceae{class}(75);Synurales{order}(75);Synuraceae{family}(69);Chrysosphaerella{genus}(69);Unassigned{species}(45)	Eukaryota		Synurophyceae	Synurales	Synuraceae	Chrysosphaerella	Unassigned
OTU1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Rana_sphenocephala_pathogen_MJY-2007{species}(82)	Eukaryota						Rana_sphenocephala_pathogen_MJY-2007
OTU1004	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);uncultured_Perkinsea{species}(67)	Eukaryota						uncultured_Perkinsea
OTU1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Bicosoecida{order}(70);Bicosoecidae{family}(68);Bicosoeca{genus}(68);Unassigned{species}(52)	Eukaryota			Bicosoecida	Bicosoecidae	Bicosoeca	Unassigned
OTU1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota{superkingdom}(100);Metazoa{superkingdom}(68);Unassigned{phylum}(23);Unassigned{class}(14);Unassigned{order}(13);Unassigned{family}(5);Unassigned{genus}(3);Unassigned{species}(3)	Eukaryota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
